epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5529,0.96187,3.32116,1.18643,0.00582,0.92857,0.35956,0.29253,0.65078,3.47974,1.09709,6.668e-05,6.668e-05,6.668e-05
2,23.1972,0.86814,3.01496,1.10683,0.00622,1,0.45015,0.35952,0.61579,3.26541,1.04025,0.000147059,0.000147059,0.000147059
3,33.6677,0.8421,2.2229,1.10883,0.00655,0.96429,0.47252,0.39203,0.62315,3.03203,1.02294,0.000224138,0.000224138,0.000224138
4,44.2836,0.98785,1.99175,1.23229,0.00586,0.92857,0.5711,0.4297,0.62826,2.99238,0.98152,0.000297916,0.000297916,0.000297916
5,55.1733,0.93039,1.71355,1.06591,0.00551,0.85714,0.57323,0.44154,0.64745,3.07603,0.97475,0.000368394,0.000368394,0.000368394
6,66.1565,0.90744,1.65673,1.06545,0.0059,0.92857,0.55806,0.42511,0.65457,3.02418,0.99059,0.00043557,0.00043557,0.00043557
7,77.086,0.92951,1.46533,1.07696,0.01156,0.92857,0.84899,0.68767,0.68175,2.89581,0.98509,0.000499447,0.000499447,0.000499447
8,87.9767,0.82568,1.3486,1.00899,0.00583,0.92857,0.70405,0.50709,0.65364,3.04244,0.99778,0.000560022,0.000560022,0.000560022
9,98.8382,0.9022,1.35028,1.04657,1,0.17638,0.88643,0.65759,0.77037,2.86311,1.02432,0.000617297,0.000617297,0.000617297
10,109.719,0.93613,1.21492,1.05947,1,0.19407,0.94654,0.74821,0.71399,2.77056,1.0262,0.000671271,0.000671271,0.000671271
11,120.779,1.03435,1.29381,1.10299,0.92994,0.21975,0.89172,0.66485,0.75409,2.74667,1.02067,0.000721944,0.000721944,0.000721944
12,131.68,0.96114,1.43797,1.06755,0.90781,0.3164,0.6259,0.45179,0.92059,2.89912,1.15748,0.000769317,0.000769317,0.000769317
13,142.541,0.9094,1.40143,1.05649,1,0.32539,0.75526,0.51692,0.90628,2.81718,1.17982,0.000813389,0.000813389,0.000813389
14,153.526,0.85421,1.31881,1.0671,0.79807,0.6008,0.86917,0.63595,0.87995,2.32825,1.15597,0.000854161,0.000854161,0.000854161
15,164.553,0.9547,1.24705,1.11007,0.75368,0.58843,0.70932,0.49576,0.95571,2.34026,1.14799,0.000891632,0.000891632,0.000891632
16,175.531,0.94349,1.2762,1.04008,0.80339,0.54984,0.74251,0.52732,0.92762,2.43113,1.16803,0.000925802,0.000925802,0.000925802
17,186.44,0.90119,1.37547,1.0421,0.874,0.77374,0.89217,0.66195,0.82949,2.21348,1.19205,0.000956671,0.000956671,0.000956671
18,197.046,0.95914,1.47666,1.06819,0.77397,0.58953,0.79647,0.58567,0.82898,2.32824,1.17464,0.00098424,0.00098424,0.00098424
19,207.945,0.92134,1.32085,1.06535,0.64852,0.57614,0.75171,0.51248,0.88402,2.23945,1.19138,0.00100851,0.00100851,0.00100851
20,218.839,0.80281,1.17936,1.03323,0.90172,0.85714,0.97015,0.68579,0.94822,1.63522,1.24622,0.00102948,0.00102948,0.00102948
21,229.623,0.90282,1.17978,1.08435,0.91567,0.85251,0.96944,0.69174,0.86795,1.61935,1.19683,0.00100687,0.00100687,0.00100687
22,240.332,0.89447,1.31546,1.07176,0.96412,0.82707,0.96096,0.69271,0.83211,1.84881,1.15828,0.000973861,0.000973861,0.000973861
23,251.134,0.8474,1.19576,1.01595,0.96203,0.78395,0.9672,0.70544,0.82151,1.95637,1.14727,0.000940855,0.000940855,0.000940855
24,261.953,0.82434,1.21115,1.05309,0.8902,0.8474,0.9538,0.72623,0.81355,1.50105,1.09216,0.000907848,0.000907848,0.000907848
25,272.747,0.82452,1.12645,1.00876,0.99419,0.79374,0.95733,0.74112,0.74402,1.40502,1.04317,0.000874842,0.000874842,0.000874842
26,283.658,0.8225,1.04301,1.03727,0.8587,0.87189,0.95149,0.73667,0.72497,1.42321,1.05011,0.000841835,0.000841835,0.000841835
27,294.569,0.94683,1.19993,1.07496,0.96859,0.76905,0.9324,0.72204,0.71062,1.4319,1.05556,0.000808828,0.000808828,0.000808828
28,305.216,0.83326,1.04037,1.00281,0.90679,0.87214,0.92644,0.66982,0.7445,1.47025,1.14743,0.000775822,0.000775822,0.000775822
29,315.97,0.76088,1.12598,1.00064,0.97616,0.89286,0.93753,0.69082,0.78313,1.39056,1.21034,0.000742815,0.000742815,0.000742815
30,326.773,0.79008,1.0301,1.00223,0.96221,0.88579,0.93945,0.68996,0.7849,1.33332,1.18462,0.000709809,0.000709809,0.000709809
31,337.323,0.81838,0.96948,1.01875,0.90737,0.89286,0.9482,0.71325,0.79781,1.24957,1.12738,0.000676802,0.000676802,0.000676802
32,347.936,0.8089,1.07586,1.00671,0.89996,0.96429,0.98362,0.76174,0.73816,1.13116,1.11799,0.000643795,0.000643795,0.000643795
33,358.577,0.72455,0.98543,0.97341,0.96083,0.96429,0.988,0.77108,0.70603,1.08212,1.10084,0.000610789,0.000610789,0.000610789
34,369.142,0.80946,1.04874,1.01036,0.90813,0.98738,0.981,0.78348,0.69254,1.03752,1.087,0.000577782,0.000577782,0.000577782
35,379.905,0.78393,0.99225,1.01736,0.93865,0.96993,0.98567,0.7937,0.6973,1.03513,1.08476,0.000544776,0.000544776,0.000544776
36,390.496,0.75064,0.99707,0.95413,0.95335,0.95767,0.97829,0.76757,0.76569,1.06732,1.08218,0.000511769,0.000511769,0.000511769
37,400.839,0.70871,0.89203,1.00689,0.95264,0.95466,0.982,0.77494,0.76826,1.10245,1.08017,0.000478762,0.000478762,0.000478762
38,411.353,0.68777,0.93639,0.98191,0.95534,0.94971,0.97635,0.76326,0.75716,1.08902,1.07722,0.000445756,0.000445756,0.000445756
39,421.96,0.73882,0.93286,0.99481,0.96328,0.94961,0.9788,0.74913,0.74451,1.05994,1.06342,0.000412749,0.000412749,0.000412749
40,432.63,0.7601,1.02805,1.03251,0.98836,0.95153,0.98882,0.76328,0.74959,1.07939,1.03602,0.000379743,0.000379743,0.000379743
41,443.276,0.64553,1.00239,0.94905,0.97719,0.9358,0.99063,0.75166,0.79378,1.1633,1.04044,0.000346736,0.000346736,0.000346736
42,453.711,0.70834,1.01272,0.96406,0.92655,0.97571,0.988,0.73797,0.82466,1.13558,1.03129,0.000313729,0.000313729,0.000313729
43,464.115,0.65752,0.92118,0.9201,0.96596,0.98464,0.995,0.75786,0.84062,1.05788,1.03322,0.000280723,0.000280723,0.000280723
44,474.638,0.6735,1.0079,0.94353,0.97429,0.99172,0.995,0.79552,0.73333,0.94728,1.02275,0.000247716,0.000247716,0.000247716
45,485.047,0.6379,0.90534,0.94394,0.98135,0.99457,0.995,0.80776,0.68398,0.89256,1.01919,0.00021471,0.00021471,0.00021471
46,495.433,0.61634,0.97031,0.95795,0.99268,1,0.995,0.82172,0.65611,0.8499,1.01848,0.000181703,0.000181703,0.000181703
47,505.811,0.65054,0.88749,0.95501,0.99457,1,0.995,0.82622,0.64614,0.83466,1.01915,0.000148696,0.000148696,0.000148696
48,516.065,0.61004,0.86975,0.93402,0.99251,1,0.995,0.83716,0.62668,0.82141,1.00068,0.00011569,0.00011569,0.00011569
49,526.505,0.58903,0.84704,0.93282,0.98718,0.99739,0.995,0.82605,0.62704,0.81959,0.99533,8.26832e-05,8.26832e-05,8.26832e-05
50,536.976,0.60614,0.89454,0.94734,0.98616,0.99805,0.995,0.82605,0.62882,0.81528,0.99366,4.96766e-05,4.96766e-05,4.96766e-05
