epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.49085,0.71455,2.90777,1.02043,0.00333,1,0.5771,0.48516,0.39475,3.07924,0.90406,2e-05,2e-05,2e-05
2,12.1757,0.67749,2.80509,1.03659,0.00333,1,0.96227,0.82991,0.36253,3.0712,0.89601,5.8812e-05,5.8812e-05,5.8812e-05
3,17.4119,0.60247,2.63086,0.97253,0.00333,1,0.94357,0.79463,0.42572,3.03464,0.9529,9.604e-05,9.604e-05,9.604e-05
4,22.3219,0.61543,2.1603,0.94366,0.00333,1,0.91996,0.77146,0.46849,2.96643,1.02175,0.000131684,0.000131684,0.000131684
5,28.283,0.64815,1.72532,1.01644,0.00333,1,0.916,0.79059,0.42873,2.80671,1.00074,0.000165744,0.000165744,0.000165744
6,34.515,0.61264,1.62881,0.96636,0.53006,0.875,0.91011,0.81106,0.37507,2.71574,0.91183,0.00019822,0.00019822,0.00019822
7,40.2264,0.54341,1.25428,0.91359,0.24497,1,0.995,0.83765,0.3917,2.74977,0.92697,0.000229112,0.000229112,0.000229112
8,45.842,0.51749,1.05017,0.90955,0.00333,1,0.995,0.78916,0.42003,2.74779,0.95637,0.00025842,0.00025842,0.00025842
9,51.5108,0.44342,1.25344,0.90041,0.00333,1,0.995,0.81429,0.41261,2.83418,0.97358,0.000286144,0.000286144,0.000286144
10,56.7619,0.45977,1.04396,0.8699,0.00333,1,0.995,0.81429,0.43787,2.8779,0.9683,0.000312284,0.000312284,0.000312284
11,62.4348,0.47137,1.08313,0.91924,1,0.76424,0.995,0.81642,0.47761,2.82367,0.98622,0.00033684,0.00033684,0.00033684
12,68.1871,0.57305,1.17907,0.94461,1,0.58697,0.95475,0.76715,0.49705,2.69415,1.01538,0.000359812,0.000359812,0.000359812
13,74.0977,0.49475,1.04773,0.93715,0.86131,0.77914,0.89225,0.78415,0.51862,2.63929,1.02381,0.0003812,0.0003812,0.0003812
14,79.7894,0.6044,1.15323,0.90797,1,0.75383,0.90324,0.80023,0.49006,2.63477,1.00829,0.000401004,0.000401004,0.000401004
15,85.2632,0.55753,1.05005,0.93741,1,0.72409,0.89633,0.78387,0.51342,2.62153,1.03794,0.000419224,0.000419224,0.000419224
16,90.8867,0.49964,0.95855,0.90295,1,0.83602,0.93147,0.81424,0.53813,2.51333,1.04426,0.00043586,0.00043586,0.00043586
17,96.906,0.48554,1.05203,0.92836,1,0.8415,0.939,0.81866,0.51399,2.4332,1.01036,0.000450912,0.000450912,0.000450912
18,102.53,0.47972,0.85938,0.89834,1,0.85409,0.98167,0.85931,0.52111,2.23852,1.02412,0.00046438,0.00046438,0.00046438
19,108.076,0.58811,1.05194,0.99443,1,0.96483,0.995,0.86398,0.50781,2.27506,1.01329,0.000476264,0.000476264,0.000476264
20,113.506,0.5812,1.05436,1.03578,1,0.97499,0.995,0.91429,0.47321,2.27766,0.97748,0.000486564,0.000486564,0.000486564
21,119.011,0.47644,0.88536,0.86329,1,0.95795,0.995,0.89606,0.5114,2.31549,1.02523,0.00049528,0.00049528,0.00049528
22,124.411,0.61656,0.93768,1.0067,1,0.98245,0.995,0.86891,0.53108,2.38201,1.06184,0.000502412,0.000502412,0.000502412
23,130.016,0.5457,1.0167,0.92211,1,0.96422,0.995,0.86605,0.52238,2.53243,1.05082,0.00050796,0.00050796,0.00050796
24,136.006,0.49199,0.97669,0.9079,1,0.82254,0.995,0.81949,0.51998,2.64807,1.03108,0.000511924,0.000511924,0.000511924
25,141.782,0.55874,0.95399,0.94795,1,0.87598,0.995,0.80199,0.5787,2.6823,1.04775,0.000514304,0.000514304,0.000514304
26,147.545,0.57703,0.96171,1.00786,1,0.83647,0.995,0.87228,0.55013,2.56402,1.05315,0.0005151,0.0005151,0.0005151
