epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4516,0.96558,4.27338,3.33002,1.17616,0.00577,0.89286,0.19576,0.16122,0.00577,0.89286,0.19429,0.08643,0.72884,3.07591,3.44241,1.08922,6.668e-05,6.668e-05,6.668e-05
2,32.8607,0.92023,2.83485,3.14625,1.10211,0.00608,0.96429,0.37598,0.30382,0.00608,0.96429,0.37619,0.29274,0.60254,1.47018,3.28174,0.98069,0.000147059,0.000147059,0.000147059
3,47.7575,0.90224,2.14373,2.38965,1.11159,0.00607,0.96429,0.47416,0.35897,0.00607,0.96429,0.48846,0.33183,0.57923,1.87328,3.16902,0.97014,0.000224138,0.000224138,0.000224138
4,62.9702,0.99761,2.08125,2.03742,1.22625,0.00603,0.96429,0.54967,0.44854,0.00628,1,0.57496,0.41202,0.58523,1.89512,3.13544,0.96206,0.000297916,0.000297916,0.000297916
5,77.9125,0.95221,1.62829,1.72169,1.06559,0.00604,0.96429,0.61363,0.50049,0.00604,0.96429,0.6193,0.52181,0.6979,1.29034,3.18884,0.99401,0.000368394,0.000368394,0.000368394
6,93.0044,0.92906,1.67301,1.56384,1.05045,0.006,0.96429,0.72443,0.56255,0.006,0.96429,0.73237,0.57905,0.72877,1.04873,3.03475,0.9949,0.00043557,0.00043557,0.00043557
7,108.265,0.95919,1.72613,1.58132,1.06673,1,0.23026,0.78323,0.58638,1,0.23026,0.75224,0.56966,0.78446,1.13372,2.89655,1.02861,0.000499447,0.000499447,0.000499447
8,123.495,0.87518,1.47898,1.41848,1.01608,1,0.1653,0.78529,0.57777,1,0.1653,0.78529,0.60492,0.84475,1.19696,2.91664,1.05382,0.000560022,0.000560022,0.000560022
9,138.543,0.9839,1.57827,1.3395,1.04905,1,0.38537,0.64791,0.47229,1,0.38537,0.65049,0.49732,0.88458,1.63336,2.92048,1.08996,0.000617297,0.000617297,0.000617297
10,153.603,0.92436,1.33825,1.24244,1.04127,0.99241,0.48452,0.7186,0.52106,0.99241,0.48452,0.71335,0.54928,0.86002,1.51727,2.62752,1.10815,0.000671271,0.000671271,0.000671271
11,168.684,1.06166,1.7626,1.44038,1.10161,0.98788,0.49813,0.72535,0.51335,0.96166,0.52812,0.75114,0.5684,1.01268,1.35917,2.57205,1.18094,0.000721944,0.000721944,0.000721944
12,183.959,0.98454,1.49504,1.50533,1.08554,0.87769,0.52829,0.58124,0.39652,0.8365,0.49572,0.56799,0.45183,0.96062,1.21054,2.79741,1.13519,0.000769317,0.000769317,0.000769317
13,199.394,0.96266,1.36217,1.53361,1.07523,0.86278,0.35714,0.59902,0.38736,0.87446,0.42625,0.61698,0.46717,0.898,1.2551,2.67368,1.13841,0.000813389,0.000813389,0.000813389
14,214.727,0.89492,1.3285,1.37293,1.08299,0.70988,0.74048,0.8955,0.62023,0.70988,0.74048,0.8955,0.67694,0.97413,1.75499,2.13794,1.23301,0.000854161,0.000854161,0.000854161
15,230.01,1.01536,1.48392,1.32139,1.12686,0.89215,0.35714,0.85972,0.58104,0.89215,0.35714,0.86523,0.66095,1.08251,1.65113,2.46133,1.29554,0.000891632,0.000891632,0.000891632
16,245.664,0.99015,1.54879,1.40794,1.05738,0.9097,0.39286,0.81285,0.53665,0.83253,0.42564,0.78805,0.53899,0.99117,1.58868,2.61922,1.25918,0.000925802,0.000925802,0.000925802
17,260.773,0.91576,1.72777,1.39913,1.04217,0.83476,0.60513,0.85302,0.63345,0.83476,0.60513,0.86105,0.6685,0.85404,1.17895,2.27415,1.20567,0.000956671,0.000956671,0.000956671
18,276.099,1.06803,1.44164,1.55058,1.12861,0.8674,0.75755,0.9597,0.74369,0.8674,0.75755,0.9597,0.76029,0.87231,1.25333,2.08295,1.16893,0.00098424,0.00098424,0.00098424
19,291.136,0.90881,1.51439,1.35186,1.0606,0.80438,0.88246,0.95335,0.716,0.80438,0.88246,0.95335,0.7826,0.96199,1.30616,1.76165,1.2328,0.00100851,0.00100851,0.00100851
20,305.77,0.89412,1.2584,1.26242,1.04665,0.86645,0.94162,0.97829,0.72577,0.86645,0.94162,0.97583,0.79361,0.96221,1.70244,1.39005,1.2777,0.00102948,0.00102948,0.00102948
21,320.301,0.91948,1.3163,1.25238,1.0599,0.86241,0.91473,0.95961,0.73349,0.86241,0.91473,0.95817,0.76586,0.84988,2.19767,1.30574,1.22374,0.00100687,0.00100687,0.00100687
22,334.91,0.89925,1.47039,1.37915,1.05705,0.88302,0.90257,0.95688,0.74089,0.85337,0.86804,0.91547,0.71676,0.88881,2.5515,1.50741,1.2376,0.000973861,0.000973861,0.000973861
23,349.731,0.90168,1.31741,1.2313,1.01208,0.88124,0.85331,0.95439,0.75911,0.82767,0.83262,0.90419,0.72435,0.89712,2.13693,1.60849,1.22636,0.000940855,0.000940855,0.000940855
24,364.464,0.84529,1.29344,1.24932,1.05721,0.93114,0.90617,0.97085,0.77717,0.93114,0.90617,0.97085,0.80853,0.84889,1.28969,1.36437,1.13447,0.000907848,0.000907848,0.000907848
25,379.358,0.85766,1.39174,1.18044,1.01907,0.9459,0.88916,0.97763,0.7645,0.9459,0.88916,0.97763,0.80345,0.83717,1.43093,1.31138,1.09628,0.000874842,0.000874842,0.000874842
26,393.943,0.82318,1.45983,1.07548,1.04142,0.9245,0.87745,0.96104,0.73108,0.91874,0.93961,0.97949,0.78693,0.8886,1.43432,1.33535,1.1107,0.000841835,0.000841835,0.000841835
27,408.725,0.9918,1.58133,1.26745,1.08159,0.92346,0.86549,0.96256,0.68897,0.92433,0.87548,0.97146,0.76827,0.95111,1.48684,1.40338,1.14012,0.000808828,0.000808828,0.000808828
28,423.502,0.84878,1.33732,1.11338,0.98917,0.88892,0.85714,0.94243,0.66861,0.88892,0.85714,0.94972,0.73839,0.97544,1.30686,1.52767,1.18736,0.000775822,0.000775822,0.000775822
29,438.171,0.81228,1.31256,1.17613,0.9996,0.89126,0.92211,0.95771,0.71046,0.89126,0.92211,0.95771,0.75005,0.86406,1.24036,1.37413,1.17653,0.000742815,0.000742815,0.000742815
30,453.063,0.8057,1.22904,1.07822,1.00153,0.88505,0.92857,0.9691,0.75406,0.88505,0.92857,0.9691,0.78581,0.81048,1.17828,1.20135,1.13956,0.000709809,0.000709809,0.000709809
31,467.901,0.81565,1.17294,0.95124,1.013,0.89677,0.94981,0.98006,0.74642,0.89677,0.94981,0.98006,0.79066,0.81911,1.09746,1.10451,1.12986,0.000676802,0.000676802,0.000676802
32,483.042,0.86042,1.22641,1.10798,1.00518,0.97321,0.97922,0.995,0.74787,0.97321,0.97922,0.995,0.80026,0.89342,0.94634,1.06011,1.11341,0.000643795,0.000643795,0.000643795
33,497.623,0.76836,1.13691,0.9893,0.95968,0.96385,1,0.995,0.75531,0.96385,1,0.995,0.78403,0.85777,0.97046,1.06192,1.11405,0.000610789,0.000610789,0.000610789
34,512.375,0.8508,1.39051,1.09686,1.03325,0.96709,0.97945,0.995,0.762,0.96709,0.97945,0.995,0.79361,0.83,0.97394,1.12397,1.12759,0.000577782,0.000577782,0.000577782
35,526.945,0.82989,1.43174,1.03693,1.0101,0.96932,0.96497,0.995,0.75617,0.96932,0.96497,0.995,0.79971,0.82556,0.95248,1.12615,1.14127,0.000544776,0.000544776,0.000544776
36,541.563,0.76808,1.2639,1.05353,0.94208,0.95884,0.97728,0.995,0.75002,0.95884,0.97728,0.995,0.80742,0.87421,0.93691,1.08923,1.11907,0.000511769,0.000511769,0.000511769
37,556.167,0.80612,1.20403,0.93658,1.02441,0.9497,0.99143,0.99267,0.78845,0.9497,0.99143,0.99267,0.82389,0.86139,0.83848,1.03158,1.09243,0.000478762,0.000478762,0.000478762
